TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
Heute	O	O	O	O	O	O	_	_	_
muß	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
beeilen	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Porte	O	O	O	O	O	O	_	_	_
am	O	O	O	O	O	O	_	_	_
15	O	O	O	O	O	O	_	_	_
12	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
steigen	O	O	O	O	O	O	_	_	_
soll	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
schreiben	O	O	O	O	O	O	_	_	_
Vor	O	O	O	O	O	O	_	_	_
allem	O	O	O	O	O	O	_	_	_
bedanke	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
herzlich	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
5	O	O	O	O	O	O	_	_	_
Dollar	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
schicket	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Freude	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
groß	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
konnte	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
sehr	O	O	O	O	O	O	_	_	_
gut	O	O	O	O	O	O	_	_	_
gebrauchen	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
ist	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
entsetzliche	O	O	O	O	O	O	_	_	_
Feuerung	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
habe	O	O	O	O	O	O	_	_	_
mir	O	O	O	O	O	O	_	_	_
gleich	O	O	O	O	O	O	_	_	_
etwas	O	O	O	O	O	O	_	_	_
warme	O	O	O	O	O	O	_	_	_
Unter	O	O	O	O	O	O	_	_	_
wäsche	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
Winter	O	O	O	O	O	O	_	_	_
gekauft	O	O	O	O	O	O	_	_	_
ebenso	O	O	O	O	O	O	_	_	_
warme	O	O	O	O	O	O	_	_	_
Filzschuhe	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	_
ge	O	O	O	O	O	O	_	_	_
Holz	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Kohle	O	O	O	O	O	O	_	_	_
stiftet	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Leutner	O	O	O	O	O	O	_	_	_
Kohle	O	O	O	O	O	O	_	_	_
1500	O	O	O	O	O	O	_	_	_
M	O	O	O	O	O	O	_	_	_
Ich	O	O	O	O	O	O	_	_	_
bekam	O	O	O	O	O	O	_	_	_
damals	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Boller	O	O	O	O	O	O	_	_	_
5800	O	O	O	O	O	O	_	_	_
M	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
kosten	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
paar	O	O	O	O	O	O	_	_	_
Lederschuhe	O	O	O	O	O	O	_	_	_
10000	O	O	O	O	O	O	_	_	_
M	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
soll	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
Deutschland	B-LOC	O	O	O	O	O	http://www.wikidata.org/entity/Q183	_	_
ist	O	O	O	O	O	O	_	_	_
dem	O	O	O	O	O	O	_	_	_
Untergang	O	O	O	O	O	O	_	_	_
nahe	O	O	O	O	O	O	_	_	_
Wie	O	O	O	O	O	O	_	_	_
freue	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
mich	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
