TOKEN	NE-COARSE-LIT	FOO-OR-RED	-	-	-	-	NEL-LIT	-	-
will	O	O	O	O	O	O	_	_	_
dis	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
ge	O	O	O	O	O	O	_	_	_
Beispiele	O	O	O	O	O	O	_	_	_
anführen	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Barthold	O	O	O	O	O	O	_	_	_
hatte	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
Mordernissen	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
welchen	O	O	O	O	O	O	_	_	_
schon	O	O	O	O	O	O	_	_	_
jahrelang	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Winter	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
Moder	O	O	O	O	O	O	_	_	_
aufstellte	O	O	O	O	O	O	_	_	_
einmahl	O	O	O	O	O	O	_	_	_
hatte	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
einer	O	O	O	O	O	O	_	_	_
gefangen	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
war	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
ihn	O	O	O	O	O	O	_	_	_
eine	O	O	O	O	O	O	_	_	_
gro	O	O	O	O	O	O	_	_	_
te	O	O	O	O	O	O	_	_	_
Freude	O	O	O	O	O	O	_	_	_
vor	O	O	O	O	O	O	_	_	_
einiger	O	O	O	O	O	O	_	_	_
Zeit	O	O	O	O	O	O	_	_	_
verlangte	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Schwager	O	O	O	O	O	O	_	_	_
Heidenreich	B-PER	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Eisen	O	O	O	O	O	O	_	_	_
vom	O	O	O	O	O	O	_	_	_
Berthold	B-PER	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
mußte	O	O	O	O	O	O	_	_	_
es	O	O	O	O	O	O	_	_	_
ihm	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
ausgeben	O	O	O	O	O	O	_	_	_
wobei	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
noch	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Bemerkung	O	O	O	O	O	O	_	_	_
machte	O	O	O	O	O	O	_	_	_
jetzt	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Mar	O	O	O	O	O	O	_	_	_
wäre	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
im	O	O	O	O	O	O	_	_	_
Hause	O	O	O	O	O	O	_	_	_
sagte	O	O	O	O	O	O	_	_	_
alle	O	O	O	O	O	O	_	_	_
Jahre	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
Zeiten	O	O	O	O	O	O	_	_	_
Kar	O	O	O	O	O	O	_	_	_
toffeln	O	O	O	O	O	O	_	_	_
von	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
heuer	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
einen	O	O	O	O	O	O	_	_	_
erhalten	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
Schwager	O	O	O	O	O	O	_	_	_
Heidenreich	B-PER	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
be	O	O	O	O	O	O	_	_	_
klagt	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Mari	B-PER	O	O	O	O	O	_	_	_
bei	O	O	O	O	O	O	_	_	_
ihm	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
nicht	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Kartoffeln	O	O	O	O	O	O	_	_	_
bedankt	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
nun	O	O	O	O	O	O	_	_	_
mei	O	O	O	O	O	O	_	_	_
wo	O	O	O	O	O	O	_	_	_
ich	O	O	O	O	O	O	_	_	_
aber	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
bildet	O	O	O	O	O	O	_	_	_
sich	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Gänner	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
ein	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Kartoffeln	O	O	O	O	O	O	_	_	_
welche	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Mutter	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
ihrer	O	O	O	O	O	O	_	_	_
schweren	O	O	O	O	O	O	_	_	_
Arbeit	O	O	O	O	O	O	_	_	_
un	O	O	O	O	O	O	_	_	_
Schweiß	O	O	O	O	O	O	_	_	_
angebaut	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
bearbeitet	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
welche	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
überhaupt	O	O	O	O	O	O	_	_	_
kein	O	O	O	O	O	O	_	_	_
Unrecht	O	O	O	O	O	O	_	_	_
darauf	O	O	O	O	O	O	_	_	_
hat	O	O	O	O	O	O	_	_	_
will	O	O	O	O	O	O	_	_	_
er	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
dankbahr	O	O	O	O	O	O	_	_	_
werden	O	O	O	O	O	O	_	_	_
Aber	O	O	O	O	O	O	_	_	_
um	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
lieben	O	O	O	O	O	O	_	_	_
Friedensweil	O	O	O	O	O	O	_	_	_
len	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
wier	O	O	O	O	O	O	_	_	_
dazu	O	O	O	O	O	O	_	_	_
geschwiegen	O	O	O	O	O	O	_	_	_
Als	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Hadel	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Marie	O	O	O	O	O	O	_	_	_
zur	O	O	O	O	O	O	_	_	_
Absternte	O	O	O	O	O	O	_	_	_
ettwas	O	O	O	O	O	O	_	_	_
Abst	O	O	O	O	O	O	_	_	_
gab	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
machte	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Mau	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
Bemerkung	O	O	O	O	O	O	_	_	_
wir	O	O	O	O	O	O	_	_	_
hätten	O	O	O	O	O	O	_	_	_
doch	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	_
Vater	O	O	O	O	O	O	_	_	_
theil	O	O	O	O	O	O	_	_	_
davon	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
krigen	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
krigte	O	O	O	O	O	O	_	_	_
sie	O	O	O	O	O	O	_	_	_
zur	O	O	O	O	O	O	_	_	_
Anmal	O	O	O	O	O	O	_	_	_
wen	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
wollt	O	O	O	O	O	O	_	_	_
erst	O	O	O	O	O	O	_	_	_
kräfte	O	O	O	O	O	O	_	_	_
ihr	O	O	O	O	O	O	_	_	_
habt	O	O	O	O	O	O	_	_	_
ja	O	O	O	O	O	O	_	_	_
nur	O	O	O	O	O	O	_	_	_
zu	O	O	O	O	O	O	_	_	_
krigen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
was	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
anderen	O	O	O	O	O	O	_	_	_
